,Unnamed: 0,var_kndvi_maxv_yr,var_kndvi_minv_yr,var_kndvi_amp_yr,var_kndvi_avg_yr,var_kndvi_sd_yr,var_kndvi_maxv_wet,var_kndvi_minv_wet,var_kndvi_med_wet,var_kndvi_cv_wet,var_kndvi_maxv_dry,var_kndvi_minv_dry,var_kndvi_med_dry,var_kndvi_cv_dry,var_kndvi_Jun_20,var_kndvi_Jul_20,var_kndvi_Aug_20,var_kndvi_Sep_20,var_kndvi_Oct_20,var_kndvi_Nov_20,var_kndvi_Dec_20,var_kndvi_Jan_20,var_kndvi_Feb_20,var_kndvi_Mar_20,var_kndvi_Apr_20,var_kndvi_May_20,var_gcvi_maxv_yr,var_gcvi_minv_yr,var_gcvi_amp_yr,var_gcvi_avg_yr,var_gcvi_sd_yr,var_gcvi_maxv_wet,var_gcvi_minv_wet,var_gcvi_med_wet,var_gcvi_cv_wet,var_gcvi_maxv_dry,var_gcvi_minv_dry,var_gcvi_med_dry,var_gcvi_cv_dry,var_gcvi_Jun_20,var_gcvi_Jul_20,var_gcvi_Aug_20,var_gcvi_Sep_20,var_gcvi_Oct_20,var_gcvi_Nov_20,var_gcvi_Dec_20,var_gcvi_Jan_20,var_gcvi_Feb_20,var_gcvi_Mar_20,var_gcvi_Apr_20,var_gcvi_May_20,var_ndmi_maxv_yr,var_ndmi_minv_yr,var_ndmi_amp_yr,var_ndmi_avg_yr,var_ndmi_sd_yr,var_ndmi_maxv_wet,var_ndmi_minv_wet,var_ndmi_med_wet,var_ndmi_cv_wet,var_ndmi_maxv_dry,var_ndmi_minv_dry,var_ndmi_med_dry,var_ndmi_cv_dry,var_ndmi_Jun_20,var_ndmi_Jul_20,var_ndmi_Aug_20,var_ndmi_Sep_20,var_ndmi_Oct_20,var_ndmi_Nov_20,var_ndmi_Dec_20,var_ndmi_Jan_20,var_ndmi_Feb_20,var_ndmi_Mar_20,var_ndmi_Apr_20,var_ndmi_May_20,var_nbr_maxv_yr,var_nbr_minv_yr,var_nbr_amp_yr,var_nbr_avg_yr,var_nbr_sd_yr,var_nbr_maxv_wet,var_nbr_minv_wet,var_nbr_med_wet,var_nbr_cv_wet,var_nbr_maxv_dry,var_nbr_minv_dry,var_nbr_med_dry,var_nbr_cv_dry,var_nbr_Jun_20,var_nbr_Jul_20,var_nbr_Aug_20,var_nbr_Sep_20,var_nbr_Oct_20,var_nbr_Nov_20,var_nbr_Dec_20,var_nbr_Jan_20,var_nbr_Feb_20,var_nbr_Mar_20,var_nbr_Apr_20,var_nbr_May_20,var_kndvi_posv_wet,var_BH,var_SH,var_Chaco,var_Cer,var_poly_ext,var_poly_dst,var_poly_cropbnds,var_poly_area,var_poly_APR,var_poly_NovDecStd,OID_,imgDate,LC5,LC,LC2,HOMONBHD9,PIDi,obs_type,LC_UNQ,PID,XCoord,YCoord,cent_lat,cent_long,sampgroup
1310,1678,5625,1771,3854,3983,968,5050,3536,3977,106,3692,1771,2552,251,4526,3464,1771,3016,3633,3966,4722,3536,4376,4402,5059,5609,5742,1908,3834,4072,880,5120,3721,4138,85,3545,1908,2728,188,4218,3472,1908,2975,3773,4239,4628,3721,4422,4804,5099,5340,3590,295,3295,1579,866,2360,551,1578,345,1180,295,382,585,1875,952,295,525,1260,1634,2019,652,2262,2168,2622,3590,6183,863,5320,3689,1345,4830,3497,3818,102,3419,863,1275,530,4219,3108,903,1688,3251,3862,4565,3497,4272,4159,5133,6183,5050,1,0,0,0,226,887,13,0,0,0,1905,1/15/2022,40.0,30.0,30,4.0,0001905_0,direct_GE,46.0,0001905_0,3009890,-3204220,-25.35936658,-57.0665333,D0301_Cordillera_C
1404,3388,4240,1101,3139,3091,802,3400,1101,2435,364,3678,3104,3297,61,3881,3678,3113,3405,3359,3111,3183,1101,1740,2608,3485,4240,3756,1479,2277,2739,570,2706,1479,2257,190,3524,2940,2988,67,3387,3524,2973,3008,2812,2491,2599,1641,1858,2261,2865,3653,1847,295,1552,726,455,910,296,382,452,991,312,408,462,1194,817,364,379,619,849,634,299,362,306,1689,1494,4443,594,3849,2899,961,3792,594,1897,504,3453,2547,2851,111,3766,3360,2721,2781,3075,3638,2928,871,1651,2473,4156,4042,3482,1,0,0,0,0,0,0,0,0,0,4005,12/31/2020,20.0,30.0,30,8.0,0004005_0,indirect_GE,30.0,0004005_0,3005000,-3364820,-26.67955414,-56.95138403,D0806_Misiones_SM
1409,3399,6630,565,6065,2863,2024,5447,565,2815,668,6630,643,4412,646,6431,6589,1912,736,1526,3815,5447,1167,618,1563,3105,1492,9019,1266,7753,3604,2257,6453,1266,3174,493,9019,1436,5071,564,7373,8940,3301,1410,2072,4021,6453,2633,1266,2056,3155,2240,4966,262,4704,1428,1616,2410,299,739,761,4966,262,3922,573,4364,4880,3171,316,296,1131,2410,482,300,298,453,297,7434,292,7142,2809,2431,5137,326,2317,698,7434,1045,6100,445,6943,7390,5249,449,338,2841,5137,1827,384,1565,2777,466,5447,1,0,0,0,3891,0,10000,0,0,0,4017,7/7/2021,20.0,30.0,30,8.0,0004017_0,indirect_GE,31.0,0004017_0,3003180,-3373590,-26.75187354,-56.96187776,D0806_Misiones_SM
1412,3403,6527,617,5910,5020,1625,5375,617,3303,511,6289,5588,5765,46,6518,6259,5667,5326,5294,5110,663,2730,4731,5877,6255,6281,8063,1528,6535,5180,1729,5446,1528,3415,357,8063,5274,5815,159,7545,7426,5739,4818,4611,4293,1528,2947,4535,5794,6272,6529,5274,260,5014,3631,1540,3598,260,1797,711,5109,4380,4782,60,5168,5109,4456,4200,3721,3556,276,1027,2927,4130,4756,4988,7788,1508,6280,6258,1780,6579,1508,4178,422,7687,7048,7420,29,7677,7687,7308,6766,6598,6446,1566,3880,5879,6954,7476,7621,6320,1,0,0,0,2731,11,9995,36,88,166,4021,7/7/2021,20.0,30.0,30,8.0,0004021_0,direct_GE,33.0,0004021_0,3005270,-3373010,-26.74708999,-56.93951681,D0806_Misiones_SM
1413,3404,6477,668,5809,2453,1979,3066,668,1355,513,1227,692,876,212,1146,1227,749,887,1821,2355,1134,672,1429,4745,6472,5883,7726,1111,6615,2839,2066,2939,1111,1695,309,1611,1344,1453,56,1598,1611,1406,1556,1922,2334,1572,1199,1815,4901,7726,6244,4860,258,4602,1128,1541,573,295,300,264,300,299,300,1,298,299,300,299,296,524,295,299,296,2034,4417,4599,7420,549,6871,2571,2289,3103,549,1046,625,1607,1050,1116,153,2218,1210,1079,1044,762,2971,1125,689,560,4713,7169,7189,3066,1,0,0,0,5346,0,10000,76,145,360,4022,2/19/2023,20.0,30.0,30,8.0,0004022_0,indirect_GE,37.0,0004022_0,3015490,-3368090,-26.70651648,-56.83245515,D0806_Misiones_SM
1420,3413,3987,1013,2974,2564,786,3554,1013,2809,331,1937,1571,1773,73,2029,1908,1643,2242,2907,3371,3047,2100,1013,2700,3987,3549,3758,1468,2290,2746,505,3416,1468,2858,208,2453,2107,2270,53,2485,2453,2164,2650,2966,3286,3014,2514,1468,2812,3758,3374,1421,297,1124,567,317,981,299,585,425,304,297,299,6,299,301,300,327,659,838,879,425,299,326,1359,1009,4026,855,3171,2288,918,3709,927,2829,357,1477,855,1212,172,1544,1477,855,1642,2573,3432,2911,2418,927,2340,4026,3235,3554,1,0,0,0,2,135,0,0,0,0,4032,7/7/2021,40.0,30.0,30,8.0,0004032_0,indirect_GE,46.0,0004032_0,3008260,-3379060,-26.79699263,-56.90002613,D0806_Misiones_SM
1426,3421,6627,1161,5466,4018,1673,5768,1738,3750,348,3299,1161,1817,350,2914,1509,2400,3629,4799,5508,4416,1937,3280,4591,6323,6627,7323,2158,5165,4069,1501,4982,2661,3429,217,3370,2285,2394,150,2534,2307,2717,3722,4231,4696,3588,2661,3271,4707,6761,6909,5058,258,4800,2078,1510,3529,373,1682,552,604,258,302,302,1792,300,351,888,2107,3234,2212,574,1236,2654,4236,5040,7654,521,7133,4183,2067,6312,2159,4108,305,2627,521,1230,552,3454,604,1833,3211,4575,5928,4803,2685,3614,4858,6997,7654,5768,1,0,0,0,3066,9,10000,10,58,381,4041,7/7/2021,20.0,30.0,30,8.0,0004041_0,direct_GE,30.0,0004041_0,3000720,-3368240,-26.70775336,-56.99474854,D0806_Misiones_SM
1431,3428,5626,1588,4038,3860,1295,5515,2433,3598,283,3530,1588,1824,307,3121,1782,2417,4015,5151,5319,4865,2433,2917,3601,4847,5626,4952,2218,2734,3521,831,4410,2687,3207,178,3166,2218,2363,128,2828,2363,2502,3553,4273,4222,3760,2687,3062,3398,4362,4872,3616,258,3358,1686,1110,3220,670,1756,511,621,258,300,319,1765,300,365,1011,2362,3052,2583,839,911,795,2472,3482,6457,915,5542,4149,1497,6101,3302,4266,223,3087,915,2020,379,3764,1353,2688,3515,5066,5771,5455,3370,3736,3929,5138,6249,5027,1,0,0,0,386,2639,8486,10,58,381,4050,7/7/2021,20.0,30.0,30,8.0,0004050_0,direct_GE,30.0,0004050_0,3000750,-3368320,-26.70841304,-56.99433181,D0806_Misiones_SM
1441,3441,5864,733,5131,4156,1567,5373,2524,3975,210,5569,1755,4357,277,5851,5532,4225,733,1342,3629,5004,4201,2524,4535,5656,5818,5627,1386,4241,3840,1268,4719,1949,3462,216,5132,2203,3974,233,5528,5132,3840,1512,1794,3315,4396,3609,1949,3953,5036,5369,4465,262,4203,2635,1385,3426,485,2182,368,4102,989,3303,319,4465,4035,3082,262,291,1408,2701,2716,1422,2643,3911,4365,7242,524,6718,5082,2042,6163,2818,4800,188,6962,2397,6077,252,7185,6926,5992,579,1189,3750,5410,5587,4327,5534,6858,7222,5373,1,0,0,0,3825,1,10000,9,59,181,4211,1/1/2022,20.0,30.0,30,,0004211_0,direct_GE,33.0,0004211_0,3002580,-3377010,-26.78008218,-56.96475665,D0806_Misiones_SM
1448,3449,5785,670,5115,3864,1345,5627,670,3043,529,4363,3471,3766,85,4769,3613,3766,3400,3321,3732,5627,768,1779,4558,5785,5163,6146,1424,4722,3790,1205,5790,1424,2987,388,4172,3420,3782,65,4831,3782,3610,3218,2648,3443,5790,2233,2069,4107,5702,5015,3023,287,2736,1310,942,2546,287,898,725,848,320,555,339,1973,320,555,589,522,1198,2546,498,287,2280,3023,2364,5882,603,5279,3547,1484,5244,603,2607,602,3506,2764,3097,91,4647,2764,3185,3053,2679,3742,5244,1062,902,4584,5879,5146,5627,1,0,0,0,1717,359,9096,0,0,0,4220,7/7/2021,20.0,30.0,30,5.0,0004220_0,direct_GE,30.0,0004220_0,3006370,-3369220,-26.71583452,-56.93153856,D0806_Misiones_SM
